cty_code,cty_lon,cty_lat
12051,1483172.594329063,504550.5627569963
12053,1326710.7176472973,704087.7257899736
12055,1452431.6115884823,587750.9225188807
12057,1347877.63813373,637392.1920574979
12059,969554.4952440907,917791.2780253177
12061,1518354.845394335,637464.695659558
12063,1027216.1046398792,916067.4286868165
12065,1157351.342261589,891768.4042701734
12067,1232012.951322015,850982.8370011176
12069,1392528.4826975216,736991.262466348
12071,1416330.5625397072,496934.89292136615
12073,1120677.6796987546,889441.3912556176
12075,1284147.8618409582,783611.247572316
12077,1065928.4313908159,858571.3297205901
12079,1197684.171394541,897752.9723617538
12081,1354532.0275974844,587389.0374133026
12083,1351880.5567710283,781171.1795826041
12085,1546551.8103312058,573197.8353710967
12086,1559764.5451695288,412176.88407770207
12087,1512118.2303397092,378074.9005109277
12089,1353283.2314551072,938429.2794534118
12091,897726.3829754125,890554.7310186903
12093,1496151.2556576333,599439.8824921316
12095,1434278.0115575313,715795.2189165892
12097,1458930.2957367597,669094.4669342297
12099,1550890.8754309134,525953.354132709
12101,1333628.4870742913,677735.8842198338
12103,1307501.578222056,630774.1982747754
12105,1407381.5471552128,648420.9300080603
12107,1375350.816808955,829310.478589042
12109,1399467.3122068434,865865.2615272871
12111,1537280.009434095,605165.895241241
12113,856710.64433616,887630.5812587874
12115,1357504.2245697384,555800.1386932867
12117,1439248.97311439,739236.0572582148
12119,1357720.5833190654,725440.6738050276
12121,1246934.805864831,876552.8698901649
12123,1190782.6276399563,852382.5726058402
12125,1308360.1973162782,868219.7969835426
12127,1438674.4082673427,777381.5651220196
12129,1112848.3148215488,856075.5714899924
12131,938418.2300196199,889380.6507373786
12133,986752.6507763342,890882.4836042727
13001,1288969.1684177006,1056996.4141501803
13003,1240685.1266009896,999304.3828733707
13005,1276778.6466862685,1033230.9392557867
13007,1093109.1744002714,983285.3638367201
13009,1179523.8471392912,1190232.1438382939
13011,1137919.4351640723,1329522.1343763852
13013,1123628.3815827179,1286958.0152538444
13015,1017790.9237650426,1301385.209426914
13017,1201787.504977456,1045956.0274608153
13019,1208150.543927877,992454.7285628939
13021,1142100.6838258237,1155737.1669927062
13023,1181751.453072601,1119110.4247737408
13025,1326650.712288318,1000389.5916341906
13027,1181467.767762988,940199.3046093752
13029,1363347.5821349714,1098017.6162278184
13031,1329129.230313239,1135887.4054021486
13033,1294383.5788838333,1205623.1738621066
13035,1111353.4406115778,1205936.604059858
13037,1073486.6471080435,1003676.637833258
13039,1360386.4290210968,975497.5092648515
13043,1298418.811693096,1132053.9605609116
13045,1004458.1327141116,1226137.6033444954
13047,982265.1031525003,1372210.6062405182
13049,1318729.263916291,952526.3966757051
13051,1392415.6549781645,1101386.9585395462
13053,1047509.5371170789,1092334.3882825733
13055,968978.4062498411,1322452.8715851505
13057,1050771.624919065,1306027.489653971
13059,1155654.1015180743,1286443.0710415577
13061,1038847.1512287665,1010448.5213362763
13063,1071117.2162198764,1229474.7261226948
13065,1262974.6942594172,959480.6151156375
13067,1045713.3600968105,1271355.2321446082
13069,1239721.3491690315,1027501.3839900816
13071,1158672.9810119537,976087.3209440042
13073,1262459.096984166,1255448.058256716
13075,1191049.2886735655,976473.9455792583
13077,1036453.257281234,1204096.9402577532
13079,1116748.3780003402,1142118.3738052265
13081,1148250.2975147052,1057180.886682362
13083,949884.18488529,1363023.9462307664
13085,1075727.430613215,1331680.5215659558
13087,1086433.7863449873,932294.5450474536
13089,1079966.3363808352,1256424.5705517652
13091,1200471.7322323385,1092125.8741928334
13093,1142042.952846125,1082710.9406093315
13095,1111749.1447913358,1008844.0550120884
13097,1031440.5736630961,1242684.8506128495
13099,1049938.1285583975,977740.5567119466
13101,1248365.131967665,934458.3537120165
13103,1366793.1528846235,1138341.763590795
13105,1201032.8160358658,1311318.4690474758
13107,1274317.9688413504,1149513.0728731481
13109,1319778.3834909846,1107427.432222349
13111,1056479.7348029206,1376603.8662385703
13113,1060348.2837661207,1213767.4553757533
13115,983524.7329908456,1300260.3940724893
13117,1082887.3320146683,1307925.5012733347
13119,1161857.0083877803,1335124.2509670714
13121,1057695.4566606951,1255761.7341417873
13123,1046587.3083130993,1355907.1260925399
