cz_code,cz_lon,cz_lat
446,662183.8149985509,1173787.257767657
447,-131810.77973410225,1152488.9350535672
448,905325.0096358333,1983970.3305082624
449,-487566.4134566464,1605777.5013845726
450,1103200.6523707414,1588934.6463384856
451,23607.62722049175,2530285.629324334
452,-38547.311610782315,1359983.2413990803
453,-324776.28407515533,1233414.9971905348
454,1460162.357604312,1860256.155348945
455,265267.70383896574,2101052.734104666
456,41667.65267196081,1630638.8940839423
457,777342.7527991792,1405356.377070515
458,823015.4742031606,1080986.1761449995
459,-381953.8189508725,2274854.638424493
460,-1552849.2355395397,2585806.5109083173
461,-471342.7457794615,2033587.9720439778
462,764246.2533966788,1239670.7620727613
463,932048.5624479074,1788871.0643596929
464,207794.67365736252,1715364.3815892274
465,-828136.9547734506,2263648.444051596
466,1690985.9773498282,2342663.8826192124
467,-91810.9815952326,2356757.3542980435
468,938850.3407156201,1623044.2193040322
469,228771.03063647228,1924367.1393422023
470,409180.3345129742,2241563.060008484
471,668919.3177634744,1741987.8559194743
472,964953.9405284066,1578152.8380455314
473,73672.89996945499,1321641.2759280414
474,-375354.169481202,2540529.837586881
475,50161.72595213026,978000.010200364
476,-1401108.1915079707,1099894.3697484618
477,-1613598.9638461166,2834846.6443759403
478,338441.3491471093,1993258.5360217157
479,-71666.33134749572,2509591.228214956
480,754939.5421882952,1470717.4246570056
481,-757959.3099952296,842186.9467405237
482,1284897.3814734267,1568162.8708098363
483,-403492.24911029194,772200.8172792222
484,-2117786.6829919997,1894505.7981505573
485,-21796.355526276246,936352.631960662
486,1888000.0237454406,2452553.785769819
487,-731616.391077317,2642665.515463248
488,-2181364.7687104163,2468861.4023083844
489,-1743727.919293591,2893232.069053957
490,-345146.02867881756,1153117.1110050117
491,27674.688569475027,2449904.5386208813
492,232888.9414719838,1848919.1791183583
493,382710.0721148523,1641049.6407995014
494,687023.0947572332,1349400.5748160777
495,-1307858.6902967296,2728202.5817974843
496,48708.47150123336,2863424.4344905037
497,-28017.446761354462,1275268.9927478358
498,-1538477.7120310804,3002058.6784740747
499,130044.8344649475,2430165.1873015775
500,-583740.4127114606,1697733.9465009402
501,-1525162.1975060378,2877053.3294613254
502,-410719.0591014463,1799273.4874488208
503,-1141929.383107959,2836259.8121001082
504,3649.854614991064,2246056.0020682574
505,-258611.17382652708,1701172.7237294603
506,-380026.8720249696,651820.3712687411
507,293545.0505434033,2253624.5653132186
508,850511.5655319425,2637240.945409144
509,127913.0013336808,1984968.7762572323
510,-544621.7420298691,2063840.878520248
511,-291847.2385606302,963577.772741705
512,-428147.33460686565,1480774.2935370905
513,966084.0536217082,2179461.6888050344
514,-259203.0590434614,2092676.274263659
515,-791858.5263308346,2001046.5921934329
516,10899.281457449893,1880670.939518079
517,355663.61722693266,2530957.1136289723
518,106805.08515225768,2246323.9071584195
519,698068.0947849146,2618520.24307525
520,535988.2354666144,1457942.0276657394
521,-648543.0547830345,2710839.3531953515
522,1420055.192879484,621804.8256947219
523,930607.4329965239,1682542.30508952
524,1453060.8381349978,2206827.798360279
525,-1034759.5109457062,2464119.8289145166
526,204198.71125921927,1986989.255186288
527,1702751.9988407874,2580220.9302042983
528,1465297.095498624,1478703.6926107786
529,-1256817.4687354362,2279597.713126488
530,-1333352.7740204097,1790284.89017033
531,1011720.7790185966,1588152.77529282
532,-213292.98253915537,2156938.9038047674
533,-666550.3007844308,1108970.133638255
534,-216205.50595853035,992908.6172367113
535,-308235.31014094636,1795551.0022249415
536,1042558.8288440948,2047423.9651497058
537,-126657.28039231325,2853053.93951205
538,-314818.00360983645,494818.80703348404
539,-1170966.9739534797,2593602.277923656
540,-561744.1339287153,2787693.535780241
541,-494397.5781519977,1076306.9154832845
542,162376.71102627757,1625495.320256592
543,-1007450.8409216122,2758218.210507438
544,-752882.1588376801,2835428.45303521
545,522932.1872309234,2203623.0280899573
546,-324156.2397867179,2070548.1085301652
547,-302965.5317933049,2177470.0309727043
548,467275.8346555098,1932213.0276979867
549,-171701.02554309816,1685715.500312793
550,-132899.62797433406,1981465.3829934248
551,157989.3216314828,937309.7531608895
552,-1196386.1303454943,1450594.6737767868
553,420412.62415286765,1286699.7799996652
554,314596.8880082798,1854595.422710577
555,240809.933723798,2568895.066600337
556,-502720.1304668034,2271029.6320729274
557,-304218.88643475086,615991.7921838323
558,918348.9855731496,1295133.570559752
559,1606875.596930863,1485184.0873026836
560,686530.9175492297,1481100.7930692264
561,224265.45882339406,2176776.210968688
562,1051296.3815294772,1365760.8906255788
563,42428.00958391378,2316633.4985250398
564,62359.83453305537,2165890.9040543265
565,1518071.9264185047,2106913.769362523
566,210037.6631438797,2353534.0120644043
567,280163.7341999299,2523681.23342764
568,397902.3351717922,1378239.9839873104
569,-323589.52348941524,808121.7699373136
570,-274867.66557223134,2844942.4131785324
571,-569738.4150100842,1988375.9264559178
572,86443.90200232535,1501523.822891594
573,981432.0026063733,1510493.7772072016
574,783835.3918864796,2394108.3814999424
575,-1904444.057403576,1752444.333809385
576,-165863.4688601101,1847472.274370215
577,-299871.71336401725,2738318.955512621
578,-423816.10518021596,2169338.489233049
579,-594035.4531396712,1913971.1696651299
580,-68260.65076085973,1863070.786126979
581,-1502697.0731030195,1782994.064245691
582,-423847.58946192946,1727821.3793548052
583,1023639.6371470368,2364521.4095865185
584,-2167469.0414431104,1611721.9711065036
585,-587223.4831320215,1324745.7201618268
586,649304.1306929109,2354778.2369876076
587,836204.8677010766,2050543.5065506168
588,-54971.553152022156,754777.3188867645
589,570768.7302249992,1133573.1478148673
590,236612.11374307558,2301501.5128335715
591,71940.48657169333,2398678.4271592223
592,-329129.1359403953,880782.7718214531
593,363453.34150502045,983946.9340662777
594,-37580.88784877675,1603224.6308593273
595,-862837.7497409278,2591864.917132519
596,-2054699.3129228826,3064387.1492230515
597,77584.45678783061,2062072.2210906234
598,-283600.65381075046,1867920.3397619382
599,-505679.9595130194,2534626.6162914815
600,-1018777.2205754409,2909155.2287333994
601,1502220.474956573,682106.2990507508
602,410318.2454564164,1137822.5499261706
603,-46610.04884052473,2106550.9074532925
604,61459.687492448335,1706573.7359607548
605,-293413.45562940236,2594444.958227569
606,-475499.6150817201,860274.1442316251
607,-263227.9377060018,1622573.0118026985
608,-249173.23949406602,1128757.0519447422
609,-1373369.911392271,2911926.3246039697
610,-622258.7544024864,857021.9970779461
611,-848852.0769374963,2417981.2630913164
612,-2274603.496317326,2294242.8917819653
613,-724080.0727271256,1628148.3004227777
614,140419.74950696455,2299290.9431777275
615,-2268733.322867999,2468745.708143996
616,70858.12001959315,1815461.3518200088
617,-1189439.1563108235,1755062.962520741
618,-962259.4506908997,2375040.6678655203
619,-891138.0612295851,1158508.0131640285
620,-182851.2114849155,2256584.6317595025
621,112766.11212818684,2115791.5867049736
622,-539725.893551744,2863515.1561112497
623,-1110842.5352864226,2702676.496731108
624,-223712.92934007107,2667594.28493256
